0	1	1.6569653499482153e-09
0	462	1.6569653499482153e-09
2	3	3.3139306998964305e-09
3	15089	3.3139306998964305e-09
4	5	4.970896049844646e-09
4	15293	3.661893423385556e-06
5	4	1.4912688149533938e-08
5	15293	7.423204767768004e-06
5	6873	3.313930699896431e-08
6	7	1.604273851819862e-05
6	2491	2.7929807938727115e-06
6	17624	1.875287104457392e-05
6	1132	0.0011826823808311533
7	6	3.6519516312858663e-06
8	9	1.1598757449637506e-08
8	12254	8.284826749741077e-09
8	246	9.959190235863748e-06
8	15235	2.312819851546884e-06
8	6597	1.416705374205724e-07
10	11	7.43646049056759e-06
11	10515	2.9732586239470775e-05
12	13	4.1384366580306624e-06
12	3384	0.00020279044229139532
13	2823	1.6041081552848673e-05
13	3662	2.5023802382209958e-05
14	15	1.6569653499482153e-09
16	17	3.6585794926856593e-06
17	128	8.507856262681181e-05
17	1240	8.201978482243666e-08
18	19	2.187194261931644e-07
18	4678	7.456344074766968e-08
18	9039	0.0001952545068268115
18	1023	1.1764453984632328e-06
18	16921	8.284826749741077e-09
19	4678	7.380123668669351e-06
19	14548	1.1101667844653043e-07
20	21	4.9708960498446456e-08
20	4245	1.0437500900215467e-05
21	2847	3.2092104897797036e-05
21	1364	8.784367479896686e-05
22	23	6.92611516278354e-07
22	13500	4.970896049844646e-09
22	2900	4.912129012099816e-05
23	5024	7.15809031177629e-07
23	22	3.608870532187213e-06
24	25	3.6536085966358146e-06
24	3848	1.6569653499482153e-09
25	12124	1.4912688149533936e-07
25	7540	0.00022559550626258587
26	27	1.6569653499482153e-09
26	14984	1.6569653499482153e-09
28	29	3.984007487415489e-05
28	10081	3.9767168398757167e-08
29	6688	0.000122309116262563
29	7213	2.2534728759295728e-07
29	6498	3.0515778528212965e-07
30	31	4.970896049844646e-09
30	2759	1.9883584199378583e-08
32	33	4.970896049844646e-09
32	9968	1.9883584199378583e-08
32	24440	1.096579668595729e-05
33	32	3.673492180835193e-06
34	35	4.6395029798550024e-08
34	8179	7.29727540117194e-06
35	9267	9.527550762202237e-08
35	5988	6.207947849096338e-05
36	37	1.703095692912534e-05
37	415	4.401773854532978e-05
38	39	2.4854480249223228e-08
38	2651	9.941792099689292e-09
38	14657	3.479627234891252e-08
39	11198	1.9883584199378583e-08
39	38	1.6569653499482154e-08
40	41	2.510302505171546e-06
40	1441	1.1433060914642684e-06
41	1859	0.006266951936272426
42	43	0.00047253133490763384
42	2162	1.0518703017055191e-05
43	6113	1.604439548354857e-05
43	2697	7.188992715552824e-05
43	16535	0.00016522531645115875
43	42	7.382067609603219e-06
43	18868	0.00023497394689870992
44	45	1.6569653499482153e-09
44	3752	3.6652073540854524e-06
46	47	7.320472916071215e-06
47	2442	5.965075259813575e-08
47	20096	8.52312913927727e-05
48	49	4.970896049844646e-09
48	17774	4.970896049844646e-09
48	702	1.0960825789907445e-05
49	15796	3.3139306998964305e-09
49	48	3.656922527335711e-06
50	51	1.6569653499482153e-09
52	53	1.6569653499482153e-09
54	55	9.941792099689292e-09
54	13588	6.462164864798039e-08
54	1144	1.92141701979995e-06
54	24028	2.3132340928843724e-06
55	1435	4.30810990986536e-08
55	54	6.141818230474718e-07
55	24028	3.0791939419870996e-06
56	57	3.661893423385556e-06
57	7036	1.0980709374106822e-05
58	59	4.9708960498446456e-08
58	1059	9.941792099689292e-09
59	1335	2.6511445599171444e-08
59	58	3.3139306998964305e-09
60	61	1.6569653499482153e-09
62	63	3.656922527335711e-06
62	19628	3.3139306998964305e-09
63	5708	1.6569653499482152e-07
63	7757	3.914341957339154e-05
64	65	2.15405495493268e-08
64	2778	6.006381038894426e-06
64	16330	1.9883584199378583e-08
64	6200	3.38339530016357e-05
66	67	1.6569653499482153e-09
68	69	3.3139306998964305e-09
69	353	3.3139306998964305e-09
70	71	2.15405495493268e-08
70	8321	7.361897049819921e-06
71	2985	5.7993787248187534e-08
71	70	3.673492180835193e-06
72	73	3.101921983370556e-05
72	14676	7.614031943903706e-06
73	14815	3.827838503182871e-05
74	75	3.6602364580356076e-06
75	2046	3.8110203048808954e-08
75	2827	1.2759461677276232e-05
76	77	8.284826749741077e-09
76	851	6.627861399792861e-09
76	3842	1.6569653499482153e-09
77	11581	2.6511445599171444e-08
78	79	6.627861399792861e-09
79	17663	3.3139306998964305e-09
79	16705	9.941792099689292e-09
80	81	1.4912688149533938e-08
81	10859	2.100203581059363e-06
81	8348	4.0015713201249403e-07
81	18458	5.600542882824967e-07
